,id,category,data
268,268,体育/运动-足球,英格兰你让我很失望我真的十分失望啊怎摸会这样一场友谊赛不用太当真
,id,category,data
371,371,体育/运动-足球,郝海东和李铁在谢联会打主力吗郝海东应该是主要替补至于李铁应该看主教练的看法主力差不多应该可以
,id,category,data
392,392,体育/运动-足球,遇到这个情况裁判应该怎样判罚当守门员开门球时后卫队友在应该是守门员重新发球门球
,id,category,data
690,690,体育/运动-篮球,姚明成熟了吗可以了不行你去试试
,id,category,data
798,798,体育/运动-足球,中超联赛结束之际将迎来一个前所未有的留洋高峰你认为下面几位球陈涛有些机会吧能走得赶紧走吧明年是更垃圾的中超
,id,category,data
905,905,体育/运动-奥运/赛事,奥林匹克运动会中国运动员代表团的平均年龄是多少全团运动员平均年龄是岁
,id,category,data
1042,1042,体育/运动-足球,世界杯的奖杯是什么名字是纯金的吗世界杯的奖杯是纯金做的吗当然不是啦曾经还又用铜做的发给冠军呢
,id,category,data
1066,1066,体育/运动,世界杯开始后托雷斯能不能上场会他是博斯克在西班牙阵容中一颗重要的棋子世界杯上他必定会上场
,id,category,data
1073,1073,体育/运动-足球,里皮进驻恒大后的第一仗是哪天跟谁比赛第一场和青岛中能打
,id,category,data
1096,1096,体育/运动-赛车/F1,谁有日本富士山赛道图富士赛道全图
,id,category,data
1120,1120,体育/运动-赛车/F1,赛车今年赛第一站是中国珠海站是月几日都有哪些车量参北京时间年月日国际超级跑车锦标赛公布了年的竞赛日历中国珠海站在暂别一年后重新回到赛历并且成为该项国际大赛的揭幕站全年比赛从月日开始到月日结束珠海站后将在欧洲重燃战火其中第六站将是著名的斯帕小时耐力赛最后一站的比利时赛道曾被传闻将做为揭幕赛事国际汽联将揭幕站放在中国也是考虑到了中国地区赛事的影响力年珠海第一次举办是作为收官站当时吸引了万现场观众通过澳亚卫星向全球个国家传诵直播信号年珠海再次耗费巨资举办赛事积累了丰富的承办经验年因为考虑到和珠海航展的日期冲突经过与协商将比赛推迟到了年初举办这也是为什么揭幕站和第二站相隔了六个星期之久珠海经过去年一年的筹备在赛事宣传招商方面已经显现出比较好的苗头新飞集团将作为珠海站的副冠名商而主赞助商的谈判进行的比较顺利有望在明年年初揭晓答案附全年赛事表中国珠海赛道英国银石赛道罗马尼亚布加勒斯特赛道意大利蒙扎赛道德国奥舍斯莱本赛道比利时斯帕赛道意大利亚的里亚赛道捷克布尔诺赛道法国诺加罗赛道比利时赛道车型有法拉利阿斯顿马丁兰博基尼保时捷玛莎拉蒂科尔维特
,id,category,data
1149,1149,体育/运动-足球,中国国家队足球在欧洲的徒弟是哪支欧洲球队是一支强队意大利它和中国足球的打法如出一辙防守反击已经玩得赏心悦目
,id,category,data
1211,1211,体育/运动-篮球,请问篮球技术中防守重要还是进攻重要不一定但是一支真正的强队必定是团结的团结的最好表现就是在防守
,id,category,data
